종목코드,CMP_KOR,SEC_NM_KOR,BPS,PER,PBR,EPS,DIV,DPS,매출액,영업이익,당기순이익,ROA,ROE,베타,MKT_VAL
005380,현대차,경기관련소비재,289609.0,9.33,0.61,18979.0,2.82,5000.0,359999.0,29798.0,30848.0,4.0,11.3,1.4,24960718.0
000270,기아,경기관련소비재,87073.0,5.99,0.82,11874.0,4.22,3000.0,218760.0,22341.0,18810.0,8.4,16.0,1.44,17869227.0
012330,현대모비스,경기관련소비재,387397.0,7.9,0.52,25645.0,1.98,4000.0,123081.0,4033.0,7697.0,4.9,7.1,1.49,12831205.0
051900,LG생활건강,경기관련소비재,321556.0,12.64,1.98,50395.0,1.88,12000.0,18627.0,2166.0,1260.0,6.4,8.6,0.79,5969275.0
090430,아모레퍼시픽,경기관련소비재,69049.0,36.88,1.51,2820.0,0.94,980.0,9457.0,-195.0,-372.0,2.8,3.6,0.84,3163288.0
021240,코웨이,경기관련소비재,26268.0,8.6,2.1,6418.0,2.26,1250.0,9782.0,1760.0,1325.0,13.1,26.8,0.62,2973829.0
035250,강원랜드,경기관련소비재,16044.0,0.0,1.48,0.0,0.0,0.0,3115.0,699.0,375.0,1.7,1.9,0.67,2940826.0
161390,한국타이어앤테크놀로지,경기관련소비재,66955.0,7.05,0.52,4901.0,2.03,700.0,20400.0,1753.0,3238.0,7.1,10.0,1.22,2439534.0
383220,F&F,경기관련소비재,14307.0,24.01,10.17,6061.0,0.76,1100.0,3714.0,950.0,692.0,27.8,55.2,0.32,2285209.0
008770,호텔신라,경기관련소비재,15228.0,103.5,4.85,714.0,0.27,200.0,11659.0,432.0,245.0,1.2,5.7,0.53,2233336.0
004170,신세계,경기관련소비재,380637.0,7.57,0.62,31193.0,1.27,3000.0,18771.0,1874.0,823.0,3.4,9.1,0.66,1672893.0
139480,이마트,경기관련소비재,369202.0,1.49,0.23,56152.0,2.39,2000.0,71473.0,-123.0,-631.0,4.7,14.3,1.07,1656576.0
081660,휠라홀딩스,경기관련소비재,26806.0,7.65,1.12,3914.0,3.34,1000.0,11719.0,1524.0,1144.0,10.4,17.7,0.92,1455623.0
204320,HL만도,경기관련소비재,41672.0,12.7,1.09,3567.0,1.77,800.0,16790.0,457.0,388.0,2.5,6.6,1.48,1446467.0
282330,BGF리테일,경기관련소비재,46849.0,19.42,3.54,8547.0,1.81,3000.0,19186.0,708.0,574.0,6.2,20.2,0.63,1291108.0
018880,한온시스템,경기관련소비재,4391.0,13.82,1.82,578.0,4.51,360.0,21067.0,601.0,146.0,0.9,2.9,1.31,1279519.0
023530,롯데쇼핑,경기관련소비재,356677.0,0.0,0.25,0.0,3.19,2800.0,39019.0,744.0,455.0,0.7,1.5,1.06,967560.0
111770,영원무역,경기관련소비재,50585.0,6.53,0.88,6795.0,2.25,1000.0,9456.0,2081.0,1896.0,15.5,22.9,0.79,944366.0
011210,현대위아,경기관련소비재,122356.0,25.92,0.5,2346.0,1.15,700.0,19718.0,531.0,1997.0,5.4,13.6,1.66,942473.0
007070,GS리테일,경기관련소비재,39822.0,2.75,0.63,9096.0,4.79,1200.0,28169.0,474.0,451.0,1.1,2.9,0.7,891883.0
048410,현대바이오,경기관련소비재,1593.0,0.0,13.84,0.0,0.0,0.0,14.0,-57.0,-59.0,-20.8,-25.8,1.05,787503.0
069960,현대백화점,경기관련소비재,202283.0,6.22,0.27,8652.0,2.04,1100.0,11252.0,712.0,537.0,2.6,4.8,0.78,755431.0
034230,파라다이스,경기관련소비재,14400.0,0.0,1.08,0.0,0.0,0.0,1052.0,-206.0,108.0,-1.5,-1.6,0.58,666792.0
002790,아모레G,경기관련소비재,36853.0,13.05,0.7,1989.0,1.73,450.0,10264.0,-109.0,-260.0,2.7,3.1,0.9,663335.0
298020,효성티앤씨,경기관련소비재,329152.0,1.49,0.81,178503.0,18.8,50000.0,25637.0,874.0,429.0,6.1,13.7,1.39,644652.0
161890,한국콜마,경기관련소비재,29876.0,23.93,1.25,1565.0,1.11,415.0,5027.0,336.0,225.0,2.8,7.2,0.68,608399.0
215200,메가스터디교육,경기관련소비재,28762.0,11.19,2.68,6893.0,2.59,2000.0,1973.0,427.0,308.0,13.7,30.1,0.55,585313.0
039130,하나투어,경기관련소비재,6225.0,0.0,8.67,0.0,0.0,0.0,216.0,-337.0,-240.0,-24.4,-99.3,0.69,580298.0
005850,에스엘,경기관련소비재,32608.0,15.23,0.98,2094.0,1.57,500.0,10160.0,784.0,608.0,7.5,12.9,1.64,488964.0
114090,GKL,경기관련소비재,6201.0,0.0,2.44,0.0,0.0,0.0,481.0,-107.0,-80.0,-7.2,-10.0,0.58,457670.0
025540,한국단자,경기관련소비재,81648.0,10.33,0.77,6100.0,1.11,700.0,2868.0,137.0,131.0,3.9,5.3,1.45,413371.0
192820,코스맥스,경기관련소비재,49474.0,7.2,1.01,6944.0,1.1,550.0,4050.0,172.0,53.0,2.2,9.2,0.85,402908.0
032350,롯데관광개발,경기관련소비재,811.0,0.0,13.26,0.0,0.0,0.0,481.0,-289.0,-569.0,-13.7,-105.9,0.73,349909.0
020000,한섬,경기관련소비재,56341.0,4.87,0.45,5214.0,2.36,600.0,3574.0,274.0,177.0,7.4,9.8,0.74,344081.0
064960,SNT모티브,경기관련소비재,61655.0,7.25,0.68,5787.0,3.81,1600.0,2190.0,205.0,225.0,7.9,10.9,1.33,343527.0
005440,현대그린푸드,경기관련소비재,20905.0,13.15,0.31,498.0,3.21,210.0,9234.0,244.0,278.0,3.9,6.2,0.77,332781.0
