날짜,시가,고가,저가,종가,거래량
2018-01-31,150500,167500,145500,162000,12990959
2018-02-28,161500,164000,152000,161500,9078933
2018-03-31,158000,159500,142500,143500,11411614
2018-04-30,144500,165500,144000,160000,12220708
2018-05-31,159000,163000,136000,139000,11539982
2018-06-30,138500,144000,123000,125500,12451114
2018-07-31,125000,131500,118000,129500,9794773
2018-08-31,130000,130500,122000,125000,7960303
2018-09-30,124500,137000,123500,129500,8007664
2018-10-31,130000,130000,102500,106500,12778244
2018-11-30,106500,110500,92500,107000,18634890
2018-12-31,108500,124500,105500,118500,12612735
2019-01-31,117500,132000,113000,129500,12840421
2019-02-28,129500,130000,118500,126500,10278056
2019-03-31,125000,129000,117000,119500,10837859
500,138500,12400505
2019-05-31,138000,140500,125000,134500,13022972
2019-06-30,134000,143500,132500,140000,7738160
2019-07-31,141500,142500,126500,126500,11677273
2019-08-31,126500,132500,123000,128500,11835317
2019-09-30,128000,136500,125500,134000,10405909
2019-10-31,134000,134000,120000,122000,11660438
2019-11-30,121500,126000,120000,121000,13907036
2019-12-31,121000,125000,117500,120500,24707303
2020-01-31,121000,133000,110000,125000,21724770
2020-02-29,123000,137500,114000,115000,19525736
2020-03-31,116000,116500,65000,88700,54473076
2020-04-30,88500,103500,83000,93600,41304577
2020-05-31,91100,99600,90500,98000,29451686
2020-06-30,98000,115000,97000,97700,35327068
2020-07-31,98500,130500,98000,126500,50392410
2020-08-31,126500,182000,123500,176500,78777457
2020-09-30,178500,191500,165500,178500,51843561
2020-10-31,183000,188500,156500,164500,42203538
2020-11-30,166000,188500,166000,181500,41595534
2020-12-31,183000,199000,179500,192000,40068950
2021-01-31,194000,289000,193500,229000,98505600
2021-02-28,229000,253000,224500,237000,30116099
2021-03-31,244500,249000,211000,218000,23179604
2021-04-30,220500,238500,211000,212000,20693301
2021-05-31,212000,236000,211000,235000,22902066
2021-06-30,235000,249000,232000,239500,20470541
2021-07-31,238500,243500,218000,218000,17183693
2021-08-31,218000,225000,200000,212500,14350998
2021-09-30,214000,218500,197500,200000,11799356
2021-10-31,198000,215000,189000,208000,14582859
2021-11-30,208000,220000,194500,195500,15678239
2021-12-31,198500,217000,196500,209000,13280620
2022-01-31,211500,217500,180000,189500,14499487
2022-02-28,193000,195500,168000,175000,16556102
2022-03-31,171500,183000,162000,180500,18741959
2022-04-30,178000,191000,174500,186000,16174933
2022-05-31,184000,189500,176000,189500,11530639
2022-06-30,189000,189000,168000,180500,17438131
2022-07-31,181500,198500,172000,196000,19363851
2022-08-31,196000,199500,184000,196000,16375947
2022-09-30,193500,197500,191000,195500,785337
