종목코드,종목명,SEC_NM_KOR,업종명,시장구분,MKT_VAL,ALL_MKT_VAL,PER,PBR,DIV
005380,현대차,경기관련소비재,운수장비,KOSPI,27569606,132591243,10.3,0.68,2.56
000270,기아,경기관련소비재,운수장비,KOSPI,20156287,132591243,6.75,0.92,3.74
012330,현대모비스,경기관련소비재,운수장비,KOSPI,13433162,132591243,8.27,0.55,1.89
051900,LG생활건강,경기관련소비재,화학,KOSPI,6437821,132591243,13.63,2.14,1.75
090430,아모레퍼시픽,경기관련소비재,화학,KOSPI,3649948,132591243,42.55,1.74,0.82
021240,코웨이,경기관련소비재,서비스업,KOSPI,3318621,132591243,9.6,2.35,2.03
035250,강원랜드,경기관련소비재,서비스업,KOSPI,3269653,132591243,0.0,1.64,0.0
161390,한국타이어앤테크놀로지,경기관련소비재,화학,KOSPI,2661951,132591243,7.69,0.56,1.86
008770,호텔신라,경기관련소비재,유통업,KOSPI,2203115,132591243,102.1,4.79,0.27
383220,F&F,경기관련소비재,섬유의복,KOSPI,2120297,132591243,22.27,9.44,0.81
139480,이마트,경기관련소비재,유통업,KOSPI,1913870,132591243,1.72,0.26,2.07
204320,만도,경기관련소비재,운수장비,KOSPI,1685948,132591243,14.8,1.27,1.52
018880,한온시스템,경기관련소비재,기계,KOSPI,1609407,132591243,17.39,2.29,3.58
004170,신세계,경기관련소비재,유통업,KOSPI,1563021,132591243,7.07,0.58,1.36
081660,휠라홀딩스,경기관련소비재,유통업,KOSPI,1475064,132591243,7.75,1.13,3.29
282330,BGF리테일,경기관련소비재,유통업,KOSPI,1224997,132591243,18.43,3.36,1.9
048410,현대바이오,경기관련소비재,화학,KOSDAQ,1224352,132591243,0.0,21.56,0.0
011210,현대위아,경기관련소비재,운수장비,KOSPI,1167240,132591243,32.1,0.62,0.93
023530,롯데쇼핑,경기관련소비재,유통업,KOSPI,1060234,132591243,0.0,0.27,2.91
007070,GS리테일,경기관련소비재,유통업,KOSPI,923926,132591243,2.85,0.65,4.62
111770,영원무역,경기관련소비재,유통업,KOSPI,909271,132591243,6.29,0.85,2.34
002790,아모레G,경기관련소비재,화학,KOSPI,881890,132591243,17.35,0.94,1.3
069960,현대백화점,경기관련소비재,유통업,KOSPI,856529,132591243,7.05,0.3,1.8
298020,효성티앤씨,경기관련소비재,화학,KOSPI,742803,132591243,1.72,0.93,16.31
034230,파라다이스,경기관련소비재,오락·문화,KOSDAQ,686026,132591243,0.0,1.11,0.0
039130,하나투어,경기관련소비재,서비스업,KOSPI,618984,132591243,0.0,9.25,0.0
161890,한국콜마,경기관련소비재,화학,KOSPI,608399,132591243,23.93,1.25,1.11
005850,에스엘,경기관련소비재,운수장비,KOSPI,589362,132591243,18.36,1.18,1.3
215200,메가스터디교육,경기관련소비재,기타서비스,KOSDAQ,571648,132591243,10.92,2.62,2.66
192820,코스맥스,경기관련소비재,화학,KOSPI,484295,132591243,8.65,1.21,0.92
114090,GKL,경기관련소비재,서비스업,KOSPI,478887,132591243,0.0,2.55,0.0
025540,한국단자,경기관련소비재,전기전자,KOSPI,425838,132591243,10.64,0.79,1.08
009900,명신산업,경기관련소비재,운수장비,KOSPI,411576,132591243,22.18,3.74,0.0
032350,롯데관광개발,경기관련소비재,서비스업,KOSPI,403616,132591243,0.0,15.29,0.0
004490,세방전지,경기관련소비재,전기전자,KOSPI,399798,132591243,7.96,0.57,1.2
271940,일진하이솔루스,경기관련소비재,운수장비,KOSPI,393853,132591243,131.69,4.42,0.0
064960,SNT모티브,경기관련소비재,운수장비,KOSPI,391842,132591243,8.27,0.78,3.34
005440,현대그린푸드,경기관련소비재,유통업,KOSPI,383588,132591243,15.16,0.36,2.78
025980,아난티,경기관련소비재,숙박·음식,KOSDAQ,379872,132591243,29.68,1.48,0.0
020000,한섬,경기관련소비재,섬유의복,KOSPI,370497,132591243,5.25,0.49,2.19
031430,신세계인터내셔날,경기관련소비재,유통업,KOSPI,342363,132591243,11.91,1.36,1.09
057050,현대홈쇼핑,경기관련소비재,유통업,KOSPI,337212,132591243,5.55,0.3,4.87
000240,한국앤컴퍼니,경기관련소비재,기타금융,KOSPI,304979,132591243,6.14,0.33,4.67
093050,LF,경기관련소비재,섬유의복,KOSPI,294739,132591243,4.03,0.36,3.57
009450,경동나비엔,경기관련소비재,전기전자,KOSPI,293703,132591243,7.12,1.35,1.07
073240,금호타이어,경기관련소비재,화학,KOSPI,293005,132591243,0.0,0.83,0.0
060980,한라홀딩스,경기관련소비재,기타금융,KOSPI,281421,132591243,3.59,0.37,5.28
007700,F&F홀딩스,경기관련소비재,기타금융,KOSPI,275033,132591243,0.19,0.35,0.99
009970,영원무역홀딩스,경기관련소비재,기타금융,KOSPI,272807,132591243,2.7,0.37,3.9
381970,케이카,경기관련소비재,유통업,KOSPI,266808,132591243,20.47,3.59,3.65
080160,모두투어,경기관련소비재,기타서비스,KOSDAQ,260196,132591243,17.44,4.4,0.0
298540,더네이쳐홀딩스,경기관련소비재,섬유·의류,KOSDAQ,248714,132591243,7.11,1.88,0.7
105630,한세실업,경기관련소비재,섬유의복,KOSPI,246820,132591243,8.77,1.27,3.32
063170,서울옥션,경기관련소비재,유통,KOSDAQ,234194,132591243,21.3,3.96,0.93
001530,DI동일,경기관련소비재,유통업,KOSPI,230370,132591243,7.61,0.58,1.18
015750,성우하이텍,경기관련소비재,운송장비·부품,KOSDAQ,228480,132591243,9.07,0.37,1.57
007340,DN오토모티브,경기관련소비재,전기전자,KOSPI,227024,132591243,6.73,0.76,3.17
214260,라파스,경기관련소비재,화학,KOSDAQ,219572,132591243,62.98,5.98,0.0
230360,에코마케팅,경기관련소비재,기타서비스,KOSDAQ,219433,132591243,18.39,3.24,1.96
241590,화승엔터프라이즈,경기관련소비재,기타제조업,KOSPI,214576,132591243,0.0,1.43,0.36
006730,서부T&D,경기관련소비재,숙박·음식,KOSDAQ,200503,132591243,11.14,0.67,0.65
290510,코리아센터,경기관련소비재,소프트웨어,KOSDAQ,198603,132591243,52.07,1.63,0.0
