종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","기계·장비","2780","20","0.72","128634806140"
"054620","APS홀딩스","KOSDAQ","금융","13250","0","0.00","270223428250"
"265520","AP시스템","KOSDAQ","반도체","18950","0","0.00","289582927950"
"211270","AP위성","KOSDAQ","통신장비","10900","-100","-0.91","164397113600"
"032790","BNGT","KOSDAQ","정보기기","4075","0","0.00","120352455875"
"013720","CBI","KOSDAQ","운송장비·부품","455","-64","-12.33","30928528995"
"035760","CJ ENM","KOSDAQ","방송서비스","95600","500","0.53","2096427122400"
"311690","CJ 바이오사이언스","KOSDAQ","기타서비스","30500","500","1.67","179299496000"
"051500","CJ프레시웨이","KOSDAQ","유통","35800","-200","-0.56","425002778800"
"058820","CMG제약","KOSDAQ","제약","2720","0","0.00","377786903680"
"023460","CNH","KOSDAQ","금융","2035","95","4.90","75702000000"
"056730","CNT85","KOSDAQ","건설","3100","0","0.00","110449763600"
"065770","CS","KOSDAQ","통신장비","1905","-35","-1.80","36978202650"
"083660","CSA 코스믹","KOSDAQ","화학","1335","15","1.14","52667342655"
"404950","DB금융스팩10호","KOSDAQ","금융","2100","0","0.00","12264000000"
"367340","DB금융스팩8호","KOSDAQ","금융","2120","-5","-0.24","12826000000"
"367360","DB금융스팩9호","KOSDAQ","금융","2125","0","0.00","10285000000"
"068790","DMS","KOSDAQ","기계·장비","5490","60","1.10","134906104890"
"241520","DSC인베스트먼트","KOSDAQ","금융","4390","5","0.11","122092059170"
"245620","EDGC","KOSDAQ","기타서비스","2305","-40","-1.71","193795020955"
"037370","EG","KOSDAQ","건설","9220","-170","-1.81","79522241840"
"050120","ES큐브","KOSDAQ","유통","3810","-125","-3.18","51679167660"
"084180","EV수성","KOSDAQ","기계·장비","1345","0","0.00","83414063395"
"214270","FSN","KOSDAQ","출판·매체복제","4235","-75","-1.74","118175777720"
"130500","GH신소재","KOSDAQ","섬유·의류","4215","-50","-1.17","61307394180"
"900290","GRT","KOSDAQ","금융","1505","155","11.48","101399375000"
"083450","GST","KOSDAQ","반도체","21200","-300","-1.40","197536194000"
"297890","HB솔루션","KOSDAQ","기계·장비","15000","0","0.00","250801395000"
"078150","HB테크놀러지","KOSDAQ","기계·장비","2055","5","0.24","162325325430"
"195940","HK이노엔","KOSDAQ","제약","38800","-1050","-2.63","1121494561200"
"028300","HLB","KOSDAQ","운송장비·부품","49300","0","0.00","5270341613300"
"067630","HLB생명과학","KOSDAQ","기타서비스","14500","-50","-0.34","1399581658500"
"047920","HLB제약","KOSDAQ","기타서비스","19450","600","3.18","540201693700"
"115450","HLB테라퓨틱스","KOSDAQ","유통","11500","50","0.44","360354926500"
"403870","HPSP","KOSDAQ","반도체","62100","-900","-1.43","1232833729500"
"036640","HRS","KOSDAQ","화학","6080","50","0.83","99437184000"
"335870","IBKS제12호스팩","KOSDAQ","금융","4620","345","8.07","14414400000"
"351340","IBKS제13호스팩","KOSDAQ","금융","1995","0","0.00","10314150000"
"388790","IBKS제16호스팩","KOSDAQ","금융","2225","0","0.00","7587250000"
"405350","IBKS제17호스팩","KOSDAQ","금융","2355","15","0.64","6405600000"
"424760","IBKS제18호스팩","KOSDAQ","금융","2145","10","0.47","9073350000"
"426550","IBKS제19호스팩","KOSDAQ","금융","2130","0","0.00","10820400000"
"095340","ISC","KOSDAQ","반도체","38400","-50","-0.13","668139686400"
"099520","ITX-AI","KOSDAQ","통신장비","1285","0","0.00","37652662655"
"950170","JTC","KOSDAQ","유통","2970","-120","-3.88","103966385490"
"067290","JW신약","KOSDAQ","제약","4065","-180","-4.24","187508031405"
"035900","JYP Ent.","KOSDAQ","오락·문화","60900","1300","2.18","2161797262800"
"318000","KBG","KOSDAQ","화학","5730","0","0.00","47156897250"
