종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","7280","80","1.11","340866307600"
"006840","AK홀딩스","KOSPI","기타금융","15900","150","0.95","210636219900"
"027410","BGF","KOSPI","기타금융","3990","0","0.00","381909996090"
"282330","BGF리테일","KOSPI","유통업","156000","-1500","-0.95","2696289336000"
"138930","BNK금융지주","KOSPI","기타금융","6560","-40","-0.61","2138135213760"
"001460","BYC","KOSPI","섬유의복","403000","3500","0.88","251719845000"
"001465","BYC우","KOSPI","섬유의복","143500","0","0.00","30907747500"
"001040","CJ","KOSPI","기타금융","76200","-600","-0.78","2223287247600"
"079160","CJ CGV","KOSPI","서비스업","20050","0","0.00","956177061450"
"00104K","CJ4우(전환)","KOSPI","기타금융","68900","-900","-1.29","291206676800"
"000120","CJ대한통운","KOSPI","운수창고업","117500","-500","-0.42","2680450420000"
"011150","CJ씨푸드","KOSPI","음식료품","3135","-65","-2.03","112642973355"
"011155","CJ씨푸드1우","KOSPI","음식료품","28350","150","0.53","5670000000"
"001045","CJ우","KOSPI","기타금융","49800","200","0.40","112559105400"
"097950","CJ제일제당","KOSPI","음식료품","400000","-500","-0.12","6021674400000"
"097955","CJ제일제당 우","KOSPI","음식료품","167000","2500","1.52","221681311000"
"000590","CS홀딩스","KOSPI","기타금융","72500","2500","3.57","83699945000"
"012030","DB","KOSPI","서비스업","787","-2","-0.25","158323885271"
"016610","DB금융투자","KOSPI","증권","4905","-35","-0.71","208199538045"
"005830","DB손해보험","KOSPI","보험","59900","600","1.01","4240920000000"
"000990","DB하이텍","KOSPI","전기전자","43700","-850","-1.91","1940218295600"
"000995","DB하이텍1우","KOSPI","전기전자","79600","-2400","-2.93","8940353600"
"139130","DGB금융지주","KOSPI","기타금융","7370","10","0.14","1246604789210"
"001530","DI동일","KOSPI","유통업","17400","400","2.35","444887898000"
"000210","DL","KOSPI","기타금융","65800","100","0.15","1378897167200"
"001880","DL건설","KOSPI","건설업","19550","200","1.03","431141702200"
"000215","DL우","KOSPI","기타금융","38650","-300","-0.77","65168344750"
"375500","DL이앤씨","KOSPI","건설업","42450","1550","3.79","1642544296350"
"37550L","DL이앤씨2우(전환)","KOSPI","건설업","34400","300","0.88","72651114400"
"37550K","DL이앤씨우","KOSPI","건설업","30150","650","2.20","63733632750"
"007340","DN오토모티브","KOSPI","전기전자","62000","-1100","-1.74","619628310000"
"004840","DRB동일","KOSPI","화학","4560","-50","-1.08","90880800000"
"155660","DSR","KOSPI","철강금속","5570","40","0.72","89120000000"
