,Symbol,Name,Sector,Industry,Sales,Revenue,MarCap,PER,PBR,ROA,ROE,Volume,Price,Beta,DIVIDEND,cnn_score,total_score
0,MMM,3M,Industrials,Industrial Conglomerates,0.09342752678455978,0.06848172855402677,-0.02392061693091167,-0.23088554032613598,-0.07071441182459579,0.11590533445853911,0.09854289696208977,0.039260812001012314,-0.15644844506071692,-0.15060985762179063,1.6622064928208418,-0.2620487128321673,1.1831972069847512
1,AOS,A. O. Smith,Industrials,Building Products,-0.44498144843904647,-0.3964801455968005,-0.337195795543571,-0.2324588833160347,-0.07211993214873971,0.9649468206126574,0.09509706415031252,-0.31337683869494504,-0.415861700753209,0.29803461251441893,-0.24659163577652243,-0.2620487128321673,-1.3630365958236477
2,ABT,Abbott,Health Care,Health Care Equipment,0.2737014666321565,0.6316374889216879,0.605615308791468,-0.15464992090649796,-0.07026263743469238,0.4608284382086496,0.04800401572269006,-0.23962948324384512,-0.2194466214283864,-0.7787121158124841,-0.429999285143529,-0.2620487128321673,-0.13496205852495013
3,ABBV,AbbVie,Health Care,Pharmaceuticals,0.47706977353479907,1.146157069984869,0.9258044355025842,-0.19169499675956783,-0.010377432195274625,0.07610651479506472,0.734873356203623,-0.16543231579877174,-0.08614446924785926,-0.8460087863329154,1.098397792914859,-0.2620487128321673,2.896702229769243
4,ABMD,Abiomed,Health Care,Health Care Equipment,-0.4930659887999255,-0.4348259332800167,-0.31818243827281434,0.363265985131981,-0.05505289964127782,0.7128876294106534,-0.05766819050514578,-0.3675114858232693,0.392557520576903,0.701814635637008,,-0.2620487128321673,0.1821701216019287
5,ACN,Accenture,Information Technology,IT Consulting & Other Services,0.5156752826417413,0.38589679348852657,0.5864448163366556,-0.0698324306328669,-0.05274383053732709,0.9251480009491829,0.14333872351519408,-0.32285869445079934,0.46714552538379767,0.3653312830348504,-0.7085071971452797,-0.2620487128321673,1.9729895597515081
6,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,-0.3796623057982825,-0.22205544781747127,-0.06749944130906455,-0.012476927092013562,-0.07980009677709757,-0.056556217416516244,-0.10705846080728644,-0.22603950922525107,-0.3306018737200971,-1.2273565859486937,-1.190801386221482,-0.2620487128321673,-4.161956964965423
7,ADM,ADM,Consumer Staples,Agricultural Products,1.1149224039133416,-0.001912741491930998,-0.1274203248290248,-0.2803743289174957,-0.08632572685348004,-0.2555503157338877,-0.050776524881591276,-0.268221283992828,-0.28887084128711144,-0.6441187747716212,-0.36886340202119344,-0.2620487128321673,-1.5195605736989903
8,ADBE,Adobe Inc.,Information Technology,Application Software,-0.2236891551653235,0.1631942882522242,0.5610936733089801,0.07419996853331601,-0.029452350880084972,1.3894675636897162,0.16516233132311667,-0.22651922637771377,0.8079170817041178,0.1858734949803664,,-0.2620487128321673,2.605198956536548
9,ADP,ADP,Information Technology,Data Processing & Outsourced Services,-0.2269637295985017,-0.08510620609169912,0.14274743495764913,0.018846901525061042,0.06120371002719791,-0.45454441405125917,0.5315692203087649,-0.31884948269847585,0.2868338050454892,-0.5095254337307584,-0.4367921610460107,-0.2620487128321673,-1.25262906818471
10,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,-0.3207199660010759,-0.39411233160434556,-0.32603919747560633,-0.1782500657549788,-0.0768886618199423,-0.48107696049357523,-0.02435847332463231,-0.34299542894526713,0.051556462703330835,0.41019573004847143,0.6500679833510651,-0.2620487128321673,-1.2946696221487233
11,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,-0.3090004364507541,-0.4174960946541573,-0.28675540146164635,,-0.05374777362600132,-1.1974557144361124,-0.4137375810554622,-0.24001235158028306,-0.5225799230153814,-0.3524998691830849,-0.0428053587020707,3.000457761928316,-0.8356327422366374
12,AFL,Aflac,Financials,Life & Health Insurance,-0.14354825456385847,0.0940797176616476,-0.17691790780661434,-0.34459532914154356,-0.08898617603846676,-0.6800710588109466,-0.06570846706595938,-0.262894873470717,-0.3912667842963714,-0.3300676456762744,0.14060229066493585,-0.2620487128321673,-2.5114232013763353
13,A,Agilent Technologies,Health Care,Health Care Equipment,-0.39655221603256974,-0.2924499178634289,-0.17005633810284265,-0.02320426565950484,-0.05550467403118122,0.6200237168625466,0.06523317978157633,-0.2988462239802009,-0.1067231085227871,0.02884793043269339,-1.190801386221482,-0.2620487128321673,-2.082082016169348
14,APD,Air Products and Chemicals,Materials,Industrial Gases,-0.30503647792638056,-0.1772589668791346,-0.08069879676975508,-0.10373082050613935,-0.07508156426032869,0.049573968352748625,-0.03814180457174132,-0.3513721656332806,0.3631813217606491,-0.5768221042511896,0.07267353164011855,-0.2620487128321673,-1.4847625918766008
15,AKAM,Akamai,Information Technology,Internet Services & Infrastructure,-0.44980713707741427,-0.3886727589189761,-0.3068163266261086,-0.10072716570724179,-0.07914753376945931,-0.12288758352230672,-0.07834318737580932,-0.34063621373564357,-0.280379283816788,-0.8908732333465365,,-0.2620487128321673,-3.300339136728451
16,ALK,Alaska Air Group,Industrials,Airlines,-0.37018327454434574,-0.437846495994716,-0.35259504358104327,-0.03564797839779469,-0.08878538742073191,-0.8657988839071601,-0.1644890076702407,-0.3302474634716591,-0.45315570315665626,0.858840200184681,,3.000457761928316,0.7605487239686495
17,ALB,Albemarle Corporation,Materials,Specialty Chemicals,-0.43670883934470167,-0.4289383957852639,-0.2063021872250564,1.4355707483384088,-0.06790337117630796,-0.7596686981378954,-0.17712372798009063,-0.26386871163638265,0.5204663862560085,1.038297988239165,-1.238351517538854,-0.2620487128321673,-0.8465790388231376
18,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,-0.4703163137904774,-0.42522668736465885,-0.2477334974211128,0.7471616746672689,-0.08903637319290046,-0.9453965232341086,-0.20813622328608591,-0.34504022845187543,-0.040358909374088564,-0.26277097515584313,0.3987315749592413,-0.2620487128321673,-2.1501711944768083
19,ALGN,Align Technology,Health Care,Health Care Supplies,-0.4425686041198626,-0.38345076914102144,-0.2759654521564787,0.011266248937367189,-0.06735120247753712,0.34143197921822666,-0.03125013894818684,-0.3455918277284132,0.3285265872195996,1.6664002464298584,,-0.2620487128321673,0.5393983544013847
20,ALLE,Allegion,Industrials,Building Products,-0.46100962855933947,-0.40323801472121246,-0.337195795543571,-0.2009920235180603,-0.03914040168579129,0.8588166348433924,0.4500178437633698,-0.35383426556247727,-0.2539483549339346,0.006415706925882887,-0.49792804416834613,-0.2620487128321673,-1.4940850559922547
21,LNT,Alliant Energy,Utilities,Electric Utilities,-0.44308564218825913,-0.3737235332801255,-0.2999547569223369,-0.15164626610760037,-0.08356488335962592,-0.573940873041682,-0.09672096237195467,-0.3302316878146579,-0.3877095102209656,-1.3395177034827461,0.22890967739719817,-0.2620487128321673,-4.113234854224923
22,ALL,Allstate,Financials,Property & Casualty Insurance,0.3512571768916388,-0.3497894134644999,-0.20242618601834567,0.17332057689693542,-0.08697828986111829,-0.9586627964552668,-0.18171817172912696,-0.34357076029711975,-0.1460826249055023,-0.7787121158124841,0.2221168014947166,-0.2620487128321673,-2.56329451609234
23,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4.2822976109106,8.7551593322252,7.069371104928439,-0.17910825284037807,-0.06800376548517538,1.6282604816705621,0.09969150789934889,1.2554121089477825,-0.22384540119904942,0.07371237744631438,,-0.2620487128321673,22.43089839167147
24,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,4.147695367104698,,7.353995301648251,-0.20213627296525935,-0.06750179394083826,,,0.9858529090496985,-0.21986737427601502,,,-0.2620487128321673,11.735989423788368
25,MO,Altria,Consumer Staples,Tobacco,-0.07219700112513472,-0.23997404019280594,0.03888107829673902,0.18490610254982603,,-0.4678106872724172,-1.3659360480432436,0.3307614815545021,-0.45755448292731926,-0.9806021273737784,4.06009168639689,-0.2620487128321673,0.7685172490310912
26,AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,7.8629585805795,1.0232867222682887,6.709531533440566,1.2756618880923392,-0.043557751275957894,-0.6933373320321049,-0.12658484674069087,3.279107353158736,-0.13529605190265906,0.6345179651165764,,-0.2620487128321673,19.524239347872424
27,AMCR,Amcor,Materials,Paper Packaging,-0.2607435500670762,-0.36002860910754825,-0.2874886989872403,-0.14435167588170633,-0.07402742401722075,-0.45454441405125917,-0.020912640512855046,-0.16752046406722682,-0.5799170610695018,,1.0372619097925233,-0.2620487128321673,-1.5743213408012786
28,AMD,AMD,Information Technology,Semiconductors,-0.13941195001668608,-0.062068015894840255,0.3102535411611744,0.029574240092552318,-0.08416724921283046,-0.01675739775304186,-0.11395012643084095,4.011261904847434,-0.3262795944671847,2.0477480460456365,,-0.2620487128321673,5.394154685539205
29,AEE,Ameren,Utilities,Multi-Utilities,-0.3913818353486042,-0.3334067004356224,-0.2543331751514581,-0.12733096535462016,-0.08401665774952934,-0.6933373320321049,-0.11050429361906368,-0.3448824718818634,-0.26534693207878307,-1.5414077150440404,0.07267353164011855,-0.2620487128321673,-4.335323259887739
30,AAL,American Airlines Group,Industrials,Airlines,0.1904583376203121,-0.21667987010487086,-0.33462925420399225,,,-1.4362486324169583,0.045706793848171855,1.279903336313461,-0.5734910175784462,1.0158657647323543,,-0.2620487128321673,-0.2911632546221354
31,AEP,American Electric Power,Utilities,Electric Utilities,-0.20249059436106503,-0.13374238539617894,-0.10201680340666403,-0.18311312590557483,-0.08537198091923952,-0.6800710588109466,-0.10131540612099102,-0.29997301742896515,-0.2285884332995904,-1.5862721620576614,0.41911020266668664,-0.2620487128321673,-3.445893477872357
