종목코드,종목명,SEC_NM_KOR,업종명,시장구분,MKT_VAL,ALL_MKT_VAL,PER,PBR,DIV,매출액,영업이익,당기순이익,ROA,ROE,베타
005380,현대차,경기관련소비재,운수장비,KOSPI,27569606,132591243,10.3,0.68,2.56,359999.0,29798.0,30848.0,4.0,11.3,1.4
000270,기아,경기관련소비재,운수장비,KOSPI,20156287,132591243,6.75,0.92,3.74,218760.0,22341.0,18810.0,8.4,16.0,1.44
012330,현대모비스,경기관련소비재,운수장비,KOSPI,13433162,132591243,8.27,0.55,1.89,123081.0,4033.0,7697.0,4.9,7.1,1.49
051900,LG생활건강,경기관련소비재,화학,KOSPI,6437821,132591243,13.63,2.14,1.75,18627.0,2166.0,1260.0,6.4,8.6,0.79
090430,아모레퍼시픽,경기관련소비재,화학,KOSPI,3649948,132591243,42.55,1.74,0.82,9457.0,-195.0,-372.0,2.8,3.6,0.84
021240,코웨이,경기관련소비재,서비스업,KOSPI,3318621,132591243,9.6,2.35,2.03,9782.0,1760.0,1325.0,13.1,26.8,0.62
035250,강원랜드,경기관련소비재,서비스업,KOSPI,3269653,132591243,0.0,1.64,0.0,3115.0,699.0,375.0,1.7,1.9,0.67
161390,한국타이어앤테크놀로지,경기관련소비재,화학,KOSPI,2661951,132591243,7.69,0.56,1.86,20400.0,1753.0,3238.0,7.1,10.0,1.22
008770,호텔신라,경기관련소비재,유통업,KOSPI,2203115,132591243,102.1,4.79,0.27,11659.0,432.0,245.0,1.2,5.7,0.53
383220,F&F,경기관련소비재,섬유의복,KOSPI,2120297,132591243,22.27,9.44,0.81,3714.0,950.0,692.0,27.8,55.2,0.32
139480,이마트,경기관련소비재,유통업,KOSPI,1913870,132591243,1.72,0.26,2.07,71473.0,-123.0,-631.0,4.7,14.3,1.07
204320,만도,경기관련소비재,운수장비,KOSPI,1685948,132591243,14.8,1.27,1.52,16790.0,457.0,388.0,2.5,6.6,1.48
018880,한온시스템,경기관련소비재,기계,KOSPI,1609407,132591243,17.39,2.29,3.58,21067.0,601.0,146.0,0.9,2.9,1.31
004170,신세계,경기관련소비재,유통업,KOSPI,1563021,132591243,7.07,0.58,1.36,18771.0,1874.0,823.0,3.4,9.1,0.66
081660,휠라홀딩스,경기관련소비재,유통업,KOSPI,1475064,132591243,7.75,1.13,3.29,11719.0,1524.0,1144.0,10.4,17.7,0.92
282330,BGF리테일,경기관련소비재,유통업,KOSPI,1224997,132591243,18.43,3.36,1.9,19186.0,708.0,574.0,6.2,20.2,0.63
048410,현대바이오,경기관련소비재,화학,KOSDAQ,1224352,132591243,0.0,21.56,0.0,14.0,-57.0,-59.0,-20.8,-25.8,1.05
011210,현대위아,경기관련소비재,운수장비,KOSPI,1167240,132591243,32.1,0.62,0.93,19718.0,531.0,1997.0,5.4,13.6,1.66
023530,롯데쇼핑,경기관련소비재,유통업,KOSPI,1060234,132591243,0.0,0.27,2.91,39019.0,744.0,455.0,0.7,1.5,1.06
007070,GS리테일,경기관련소비재,유통업,KOSPI,923926,132591243,2.85,0.65,4.62,28169.0,474.0,451.0,1.1,2.9,0.7
111770,영원무역,경기관련소비재,유통업,KOSPI,909271,132591243,6.29,0.85,2.34,9456.0,2081.0,1896.0,15.5,22.9,0.79
002790,아모레G,경기관련소비재,화학,KOSPI,881890,132591243,17.35,0.94,1.3,10264.0,-109.0,-260.0,2.7,3.1,0.9
069960,현대백화점,경기관련소비재,유통업,KOSPI,856529,132591243,7.05,0.3,1.8,11252.0,712.0,537.0,2.6,4.8,0.78
298020,효성티앤씨,경기관련소비재,화학,KOSPI,742803,132591243,1.72,0.93,16.31,25637.0,874.0,429.0,6.1,13.7,1.39
034230,파라다이스,경기관련소비재,오락·문화,KOSDAQ,686026,132591243,0.0,1.11,0.0,1052.0,-206.0,108.0,-1.5,-1.6,0.58
039130,하나투어,경기관련소비재,서비스업,KOSPI,618984,132591243,0.0,9.25,0.0,216.0,-337.0,-240.0,-24.4,-99.3,0.69
161890,한국콜마,경기관련소비재,화학,KOSPI,608399,132591243,23.93,1.25,1.11,5027.0,336.0,225.0,2.8,7.2,0.68
005850,에스엘,경기관련소비재,운수장비,KOSPI,589362,132591243,18.36,1.18,1.3,10160.0,784.0,608.0,7.5,12.9,1.64
215200,메가스터디교육,경기관련소비재,기타서비스,KOSDAQ,571648,132591243,10.92,2.62,2.66,1973.0,427.0,308.0,13.7,30.1,0.55
192820,코스맥스,경기관련소비재,화학,KOSPI,484295,132591243,8.65,1.21,0.92,4050.0,172.0,53.0,2.2,9.2,0.85
114090,GKL,경기관련소비재,서비스업,KOSPI,478887,132591243,0.0,2.55,0.0,481.0,-107.0,-80.0,-7.2,-10.0,0.58
025540,한국단자,경기관련소비재,전기전자,KOSPI,425838,132591243,10.64,0.79,1.08,2868.0,137.0,131.0,3.9,5.3,1.45
009900,명신산업,경기관련소비재,운수장비,KOSPI,411576,132591243,22.18,3.74,0.0,3174.0,213.0,267.0,11.1,26.2,1.24
032350,롯데관광개발,경기관련소비재,서비스업,KOSPI,403616,132591243,0.0,15.29,0.0,481.0,-289.0,-569.0,-13.7,-105.9,0.73
004490,세방전지,경기관련소비재,전기전자,KOSPI,399798,132591243,7.96,0.57,1.2,3595.0,166.0,112.0,3.4,4.7,1.58
271940,일진하이솔루스,경기관련소비재,운수장비,KOSPI,393853,132591243,131.69,4.42,0.0,374.0,34.0,37.0,2.8,3.1,0.41
064960,SNT모티브,경기관련소비재,운수장비,KOSPI,391842,132591243,8.27,0.78,3.34,2190.0,205.0,225.0,7.9,10.9,1.33
005440,현대그린푸드,경기관련소비재,유통업,KOSPI,383588,132591243,15.16,0.36,2.78,9234.0,244.0,278.0,3.9,6.2,0.77
025980,아난티,경기관련소비재,숙박·음식,KOSDAQ,379872,132591243,29.68,1.48,0.0,569.0,51.0,-470.0,-2.7,-8.6,0.72
020000,한섬,경기관련소비재,섬유의복,KOSPI,370497,132591243,5.25,0.49,2.19,3574.0,274.0,177.0,7.4,9.8,0.74
031430,신세계인터내셔날,경기관련소비재,유통업,KOSPI,342363,132591243,11.91,1.36,1.09,3839.0,387.0,333.0,10.1,16.2,0.86
057050,현대홈쇼핑,경기관련소비재,유통업,KOSPI,337212,132591243,5.55,0.3,4.87,5738.0,296.0,289.0,5.3,7.6,0.67
000240,한국앤컴퍼니,경기관련소비재,기타금융,KOSPI,304979,132591243,6.14,0.33,4.67,3087.0,1027.0,998.0,6.8,7.5,1.13
093050,LF,경기관련소비재,섬유의복,KOSPI,294739,132591243,4.03,0.36,3.57,5242.0,558.0,433.0,7.7,11.9,0.75
009450,경동나비엔,경기관련소비재,전기전자,KOSPI,293703,132591243,7.12,1.35,1.07,2483.0,35.0,222.0,8.4,17.5,0.62
073240,금호타이어,경기관련소비재,화학,KOSPI,293005,132591243,0.0,0.83,0.0,8941.0,18.0,-298.0,-1.6,-5.9,1.01
060980,한라홀딩스,경기관련소비재,기타금융,KOSPI,281421,132591243,3.59,0.37,5.28,3143.0,444.0,-70.0,1.2,2.8,1.13
007700,F&F홀딩스,경기관련소비재,기타금융,KOSPI,275033,132591243,0.19,0.35,0.99,3717.0,740.0,533.0,9.6,4.5,0.47
009970,영원무역홀딩스,경기관련소비재,기타금융,KOSPI,272807,132591243,2.7,0.37,3.9,10478.0,2293.0,2144.0,15.2,19.8,0.61
381970,케이카,경기관련소비재,유통업,KOSPI,266808,132591243,20.47,3.59,3.65,5876.0,114.0,68.0,,,1.04
080160,모두투어,경기관련소비재,기타서비스,KOSDAQ,260196,132591243,17.44,4.4,0.0,81.0,-49.0,-19.0,-5.1,-32.5,0.63
298540,더네이쳐홀딩스,경기관련소비재,섬유·의류,KOSDAQ,248714,132591243,7.11,1.88,0.7,892.0,178.0,135.0,13.4,23.1,0.87
105630,한세실업,경기관련소비재,섬유의복,KOSPI,246820,132591243,8.77,1.27,3.32,6106.0,556.0,245.0,8.4,23.2,0.49
063170,서울옥션,경기관련소비재,유통,KOSDAQ,234194,132591243,21.3,3.96,0.93,132.0,25.0,8.0,6.4,11.5,1.29
001530,DI동일,경기관련소비재,유통업,KOSPI,230370,132591243,7.61,0.58,1.18,2421.0,170.0,144.0,5.9,9.8,1.09
015750,성우하이텍,경기관련소비재,운송장비·부품,KOSDAQ,228480,132591243,9.07,0.37,1.57,9349.0,185.0,275.0,2.6,7.6,1.17
007340,DN오토모티브,경기관련소비재,전기전자,KOSPI,227024,132591243,6.73,0.76,3.17,8090.0,948.0,481.0,5.1,17.9,0.66
214260,라파스,경기관련소비재,화학,KOSDAQ,219572,132591243,62.98,5.98,0.0,57.0,-11.0,-29.0,-8.4,-16.2,1.1
230360,에코마케팅,경기관련소비재,기타서비스,KOSDAQ,219433,132591243,18.39,3.24,1.96,1082.0,212.0,213.0,19.4,28.9,1.11
241590,화승엔터프라이즈,경기관련소비재,기타제조업,KOSPI,214576,132591243,0.0,1.43,0.36,4524.0,261.0,139.0,2.5,5.7,0.46
006730,서부T&D,경기관련소비재,숙박·음식,KOSDAQ,200503,132591243,11.14,0.67,0.65,338.0,8.0,-63.0,-1.0,-4.3,0.86
290510,코리아센터,경기관련소비재,소프트웨어,KOSDAQ,198603,132591243,52.07,1.63,0.0,1266.0,115.0,16.0,1.4,0.6,1.08
002350,넥센타이어,경기관련소비재,화학,KOSPI,196498,132591243,144.22,0.42,1.62,6534.0,-233.0,-87.0,-1.8,-4.4,1.0
060280,큐렉소,경기관련소비재,유통,KOSDAQ,192730,132591243,0.0,6.03,0.0,153.0,-4.0,-13.0,-4.3,-5.6,0.98
096240,크레버스,경기관련소비재,기타서비스,KOSDAQ,191961,132591243,11.31,2.18,8.3,574.0,90.0,4.0,2.6,6.3,0.62
038880,아이에이,경기관련소비재,반도체,KOSDAQ,191694,132591243,92.38,2.14,0.0,194.0,3.0,39.0,6.1,7.0,1.25
035080,그래디언트,경기관련소비재,유통,KOSDAQ,175105,132591243,0.0,0.97,1.4,8584.0,41.0,3530.0,39.9,147.9,1.18
284740,쿠쿠홈시스,경기관련소비재,서비스업,KOSPI,174742,132591243,4.78,1.13,2.0,2627.0,453.0,373.0,14.2,19.0,0.55
006060,화승인더,경기관련소비재,화학,KOSPI,173484,132591243,0.0,0.72,3.84,5253.0,324.0,167.0,2.7,9.5,0.74
